email,password,nickname,birthDate,pointBalance,provider,providerId,isDeleted,roles
pageon77@mail.com,-pageon123,신나는판다,2004-03-27,0,EMAIL,,FALSE,ROLE_USER
pageon78@mail.com,-pageon123,신나는사슴,2003-05-21,0,EMAIL,,FALSE,ROLE_USER
pageon79@mail.com,-pageon123,상냥한호랑이,1987-06-02,0,EMAIL,,FALSE,ROLE_USER
pageon80@mail.com,-pageon123,용감한부엉이,2006-08-10,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon81@mail.com,-pageon123,평온한판다,1982-06-22,0,EMAIL,,FALSE,ROLE_USER
pageon82@mail.com,-pageon123,기쁜독수리,2007-05-01,0,EMAIL,,FALSE,ROLE_USER
pageon83@mail.com,-pageon123,평온한토끼,2003-07-04,0,EMAIL,,FALSE,ROLE_USER
pageon84@mail.com,-pageon123,용감한코끼리,1985-11-18,0,EMAIL,,FALSE,ROLE_USER
pageon85@mail.com,-pageon123,상냥한곰,2009-04-06,0,EMAIL,,FALSE,ROLE_USER
pageon86@mail.com,-pageon123,상냥한판다,1986-01-03,0,EMAIL,,FALSE,ROLE_USER
pageon87@mail.com,-pageon123,신나는고양이,1992-02-23,0,EMAIL,,FALSE,ROLE_USER
pageon88@mail.com,-pageon123,상냥한캥거루,1998-07-07,0,EMAIL,,FALSE,ROLE_USER
pageon89@mail.com,-pageon123,용감한늑대,1989-01-10,0,EMAIL,,FALSE,ROLE_USER
pageon90@mail.com,-pageon123,신나는부엉이,1984-06-26,0,EMAIL,,FALSE,ROLE_USER
pageon91@mail.com,-pageon123,평온한수달,2000-10-20,0,EMAIL,,FALSE,ROLE_USER
pageon92@mail.com,-pageon123,평온한곰,1995-07-19,0,EMAIL,,FALSE,ROLE_USER
pageon93@mail.com,-pageon123,기쁜다람쥐,2003-02-22,0,EMAIL,,FALSE,ROLE_USER
pageon94@mail.com,-pageon123,상냥한늑대,1986-06-12,0,EMAIL,,FALSE,ROLE_USER
pageon95@mail.com,-pageon123,기쁜여우,1980-12-12,0,EMAIL,,FALSE,ROLE_USER
pageon96@mail.com,-pageon123,평온한늑대,1996-07-18,0,EMAIL,,FALSE,ROLE_USER
pageon97@mail.com,-pageon123,용감한캥거루,2003-09-05,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon98@mail.com,-pageon123,용감한매,1994-06-12,0,EMAIL,,FALSE,"ROLE_USER, ROLE_CREATOR"
pageon99@mail.com,-pageon123,용감한사자,2011-02-15,0,EMAIL,,FALSE,ROLE_USER
pageon100@mail.com,-pageon123,신나는돌고래,1999-11-11,0,EMAIL,,FALSE,ROLE_USER
